         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17245    0.012    0.000    0.023    0.000 /usr/lib/python3.13/site-packages/cffi/api.py:242(new)
       19    0.000    0.000    0.023    0.001 /home/sergi/projects/postquantic-pot-code/src/assymetric/__init__.py:12(<lambda>)
    93/55    0.000    0.000    0.022    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:1613(subcategory_class)
       90    0.000    0.000    0.021    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:281(<genexpr>)
        5    0.000    0.000    0.020    0.004 /usr/lib/python3.13/site-packages/Crypto/Util/_raw_api.py:293(load_pycryptodome_raw_lib)
        5    0.000    0.000    0.020    0.004 /usr/lib/python3.13/site-packages/Crypto/Util/_raw_api.py:93(load_lib)
  218/139    0.001    0.000    0.020    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:2326(join)
        7    0.000    0.000    0.019    0.003 /usr/lib/python3.13/site-packages/cffi/cparser.py:307(_parse)
     2105    0.001    0.000    0.019    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:129(add_fft)
      387    0.001    0.000    0.019    0.000 /usr/lib/python3.13/site-packages/sage/structure/dynamic_class.py:129(dynamic_class)
        5    0.000    0.000    0.019    0.004 /usr/lib/python3.13/site-packages/cffi/api.py:101(cdef)
        5    0.000    0.000    0.019    0.004 /usr/lib/python3.13/site-packages/cffi/api.py:119(_cdef)
        5    0.000    0.000    0.019    0.004 /usr/lib/python3.13/site-packages/cffi/cparser.py:370(parse)
        5    0.000    0.000    0.019    0.004 /usr/lib/python3.13/site-packages/cffi/cparser.py:394(_internal_parse)
   165957    0.019    0.000    0.019    0.000 {built-in method _operator.index}
       11    0.001    0.000    0.018    0.002 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:35(collapse_bits)
      325    0.017    0.000    0.018    0.000 /usr/lib/python3.13/site-packages/sage/structure/dynamic_class.py:339(dynamic_class_internal)
        7    0.000    0.000    0.018    0.003 /usr/lib/python3.13/site-packages/pycparser/c_parser.py:130(parse)
        7    0.000    0.000    0.018    0.003 /usr/lib/python3.13/site-packages/pycparser/ply/yacc.py:323(parse)
        7    0.004    0.001    0.018    0.003 /usr/lib/python3.13/site-packages/pycparser/ply/yacc.py:1001(parseopt_notrack)
        3    0.000    0.000    0.018    0.006 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:93(hy)
        5    0.000    0.000    0.018    0.004 /usr/lib/python3.13/site-packages/Crypto/Cipher/_mode_eax.py:372(_create_eax_cipher)
        5    0.000    0.000    0.017    0.003 /usr/lib/python3.13/site-packages/Crypto/Cipher/_mode_eax.py:80(__init__)
    86/48    0.000    0.000    0.017    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:1018(_super_categories_for_classes)
    86/48    0.000    0.000    0.017    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:833(_all_super_categories)
        9    0.000    0.000    0.017    0.002 /home/sergi/projects/postquantic-pot-code/src/ecoin/kyber.py:20(digest)
